split,family,cluster_config,load,policy,seed,target_rho,realized_rho_cpu,realized_rho_ram,realized_rho,arrival_rate,observation_horizon,duration_min,duration_max,submitted,feasible_jobs,permanently_infeasible,started_by_horizon,completed_by_horizon,running_at_horizon,queued_at_horizon,admission_ratio_horizon,completion_ratio_horizon,throughput_horizon,mean_wait_time,p95_wait_time,mean_turnaround_time,p95_turnaround_time,mean_slowdown,p95_slowdown,time_weighted_cpu_utilization,time_weighted_ram_utilization,time_weighted_queue_length,time_weighted_active_nodes,horizon_active_nodes,horizon_cpu_utilization,horizon_ram_utilization,horizon_free_imbalance,makespan,drained_throughput,params
test,balanced,homog,low,binpack,1000,0.7,0.7093029131058837,0.42558174786353015,0.7093029131058837,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.0,0.0,9.935294963782498,11.736798172747935,1.0,1.0000000000000004,0.6418038532920914,0.38508231197525483,0.0,21.523357829863034,24,0.689236111111111,0.41354166666666664,0.27569444444444446,61.79685552500513,13.350193840626352,{}
test,balanced,homog,low,spread,1000,0.7,0.7093029131058837,0.42558174786353015,0.7093029131058837,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.0,0.0,9.935294963782498,11.736798172747935,1.0,1.0000000000000004,0.6418038532920914,0.38508231197525483,0.0,29.31700029116425,30,0.689236111111111,0.41354166666666664,0.27569444444444446,61.79685552500513,13.350193840626352,{}
test,balanced,homog,low,tetris,1000,0.7,0.7093029131058837,0.42558174786353015,0.7093029131058837,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.0,0.0,9.935294963782498,11.736798172747935,1.0,1.0000000000000004,0.6418038532920914,0.38508231197525483,0.0,29.31700029116425,30,0.689236111111111,0.41354166666666664,0.27569444444444446,61.79685552500513,13.350193840626352,{}
test,balanced,homog,low,hybrid,1000,0.7,0.7093029131058837,0.42558174786353015,0.7093029131058837,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.0,0.0,9.935294963782498,11.736798172747935,1.0,1.0000000000000004,0.6418038532920914,0.38508231197525483,0.0,27.438944588751802,30,0.689236111111111,0.41354166666666664,0.27569444444444446,61.79685552500513,13.350193840626352,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,balanced,homog,low,binpack,1001,0.7,0.6981082150394756,0.4188649290236854,0.6981082150394756,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.0,0.0,10.021025270295288,11.80206045997937,1.0,1.0000000000000004,0.631454988003832,0.3788729928023004,0.0,21.03797536903223,22,0.650173611111111,0.39010416666666664,0.26006944444444446,60.67168807650542,13.235168254877594,{}
test,balanced,homog,low,spread,1001,0.7,0.6981082150394756,0.4188649290236854,0.6981082150394756,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.0,0.0,10.021025270295288,11.80206045997937,1.0,1.0000000000000004,0.631454988003832,0.3788729928023004,0.0,29.468569584822273,30,0.650173611111111,0.39010416666666664,0.2600694444444444,60.67168807650542,13.235168254877594,{}
test,balanced,homog,low,tetris,1001,0.7,0.6981082150394756,0.4188649290236854,0.6981082150394756,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.0,0.0,10.021025270295288,11.80206045997937,1.0,1.0000000000000004,0.631454988003832,0.3788729928023004,0.0,29.468569584822273,30,0.650173611111111,0.39010416666666664,0.2600694444444444,60.67168807650542,13.235168254877594,{}
test,balanced,homog,low,hybrid,1001,0.7,0.6981082150394756,0.4188649290236854,0.6981082150394756,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.0,0.0,10.021025270295288,11.80206045997937,1.0,1.0000000000000004,0.631454988003832,0.3788729928023004,0.0,27.54002316809585,30,0.650173611111111,0.39010416666666664,0.2600694444444444,60.67168807650542,13.235168254877594,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,balanced,homog,low,binpack,1002,0.7,0.6946507725614189,0.41679046353685134,0.6946507725614189,16.128,50.0,8.0,12.0,803,803,0,803,641,162,0,1.0,0.7982565379825654,12.82,0.0,0.0,9.97432335694113,11.787864117778682,1.0,1.0000000000000004,0.6203006323321771,0.37218037939930554,0.0,21.029182622971916,23,0.7005208333333334,0.4203125,0.28020833333333334,61.30076799054342,13.099346489816817,{}
test,balanced,homog,low,spread,1002,0.7,0.6946507725614189,0.41679046353685134,0.6946507725614189,16.128,50.0,8.0,12.0,803,803,0,803,641,162,0,1.0,0.7982565379825654,12.82,0.0,0.0,9.97432335694113,11.787864117778682,1.0,1.0000000000000004,0.6203006323321771,0.37218037939930554,0.0,29.513936369376474,30,0.7005208333333334,0.4203125,0.28020833333333334,61.30076799054342,13.099346489816817,{}
test,balanced,homog,low,tetris,1002,0.7,0.6946507725614189,0.41679046353685134,0.6946507725614189,16.128,50.0,8.0,12.0,803,803,0,803,641,162,0,1.0,0.7982565379825654,12.82,0.0,0.0,9.97432335694113,11.787864117778682,1.0,1.0000000000000004,0.6203006323321771,0.37218037939930554,0.0,29.513936369376474,30,0.7005208333333334,0.4203125,0.28020833333333334,61.30076799054342,13.099346489816817,{}
test,balanced,homog,low,hybrid,1002,0.7,0.6946507725614189,0.41679046353685134,0.6946507725614189,16.128,50.0,8.0,12.0,803,803,0,803,641,162,0,1.0,0.7982565379825654,12.82,0.0,0.0,9.97432335694113,11.787864117778682,1.0,1.0000000000000004,0.6203006323321771,0.37218037939930554,0.0,27.287329687648658,30,0.7005208333333334,0.4203125,0.28020833333333334,61.30076799054342,13.099346489816817,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,balanced,homog,low,binpack,1003,0.7,0.6598715155439779,0.39592290932638674,0.6598715155439779,16.128,50.0,8.0,12.0,761,761,0,761,587,174,0,1.0,0.771353482260184,11.74,0.0,0.0,9.989014790485308,11.832042282236934,1.0,1.0000000000000004,0.5762280889059166,0.34573685334354987,0.0,19.746307340766784,24,0.7760416666666666,0.465625,0.3104166666666667,61.04014451935472,12.467205082692765,{}
test,balanced,homog,low,spread,1003,0.7,0.6598715155439779,0.39592290932638674,0.6598715155439779,16.128,50.0,8.0,12.0,761,761,0,761,587,174,0,1.0,0.771353482260184,11.74,0.0,0.0,9.989014790485308,11.832042282236934,1.0,1.0000000000000004,0.5762280889059166,0.34573685334354987,0.0,29.548399231789848,30,0.7760416666666666,0.465625,0.3104166666666667,61.04014451935472,12.467205082692765,{}
test,balanced,homog,low,tetris,1003,0.7,0.6598715155439779,0.39592290932638674,0.6598715155439779,16.128,50.0,8.0,12.0,761,761,0,761,587,174,0,1.0,0.771353482260184,11.74,0.0,0.0,9.989014790485308,11.832042282236934,1.0,1.0000000000000004,0.5762280889059166,0.34573685334354987,0.0,29.548399231789848,30,0.7760416666666666,0.465625,0.3104166666666667,61.04014451935472,12.467205082692765,{}
test,balanced,homog,low,hybrid,1003,0.7,0.6598715155439779,0.39592290932638674,0.6598715155439779,16.128,50.0,8.0,12.0,761,761,0,761,587,174,0,1.0,0.771353482260184,11.74,0.0,0.0,9.989014790485308,11.832042282236934,1.0,1.0000000000000004,0.5762280889059166,0.34573685334354987,0.0,27.366635943193636,30,0.7760416666666666,0.465625,0.3104166666666667,61.04014451935472,12.467205082692765,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
